timestamp,signal_type
2025-07-13 23:54:00,buy
2025-07-14 00:01:00,sell
2025-07-14 00:15:00,buy
2025-07-14 00:51:00,sell
2025-07-14 03:59:01,buy
2025-07-14 04:01:00,sell
2025-07-14 04:33:00,buy
2025-07-14 05:24:00,sell
2025-07-14 05:54:00,buy
2025-07-14 05:55:00,sell
2025-07-14 06:03:00,buy
2025-07-14 06:04:00,sell
2025-07-14 06:07:00,buy
2025-07-14 08:27:00,sell
2025-07-14 09:23:00,buy
2025-07-14 09:32:00,sell
2025-07-14 09:58:00,buy
2025-07-14 11:26:00,sell
2025-07-14 11:38:00,buy
2025-07-14 11:49:00,sell
2025-07-14 13:50:00,buy
2025-07-14 13:58:00,sell
2025-07-14 16:23:00,buy
2025-07-14 16:49:00,sell
2025-07-14 16:57:00,buy
2025-07-14 18:11:00,sell
2025-07-14 18:19:00,buy
2025-07-14 18:29:00,sell
2025-07-14 18:36:00,buy
2025-07-14 18:53:00,sell
2025-07-14 19:05:00,buy
2025-07-14 19:16:00,sell
2025-07-14 19:18:00,buy
2025-07-14 19:22:00,sell
2025-07-14 23:36:00,buy
2025-07-15 01:43:00,sell
2025-07-15 02:10:00,buy
2025-07-15 02:51:00,sell
2025-07-15 02:57:00,buy
2025-07-15 06:02:00,sell
2025-07-15 06:40:01,buy
2025-07-15 06:54:00,sell
2025-07-15 07:23:00,buy
2025-07-15 08:17:00,sell
2025-07-15 08:36:00,buy
2025-07-15 09:00:00,sell
2025-07-15 09:04:00,buy
2025-07-15 09:17:00,sell
2025-07-15 09:26:00,buy
2025-07-15 09:30:00,sell
2025-07-15 09:40:00,buy
2025-07-15 09:52:00,sell
2025-07-15 09:53:00,buy
2025-07-15 10:46:00,sell
2025-07-15 14:27:00,buy
2025-07-15 15:13:00,sell
2025-07-15 17:15:00,buy
2025-07-15 17:34:00,sell
2025-07-15 18:03:00,buy
2025-07-15 18:18:00,sell
2025-07-15 18:37:00,buy
2025-07-15 19:06:00,sell
2025-07-15 23:32:00,buy
2025-07-16 01:05:00,sell
2025-07-16 01:11:00,buy
2025-07-16 01:48:00,sell
2025-07-16 03:21:00,buy
2025-07-16 07:05:00,sell
2025-07-16 07:20:00,buy
2025-07-16 07:29:00,sell
2025-07-16 08:03:00,buy
2025-07-16 09:29:00,sell
2025-07-16 09:39:00,buy
2025-07-16 09:59:00,sell
2025-07-16 11:45:00,buy
2025-07-16 12:16:00,sell
2025-07-16 12:34:00,buy
2025-07-16 12:37:00,sell
2025-07-16 13:18:00,buy
2025-07-16 13:30:00,sell
2025-07-16 14:55:00,buy
2025-07-16 16:54:00,sell
2025-07-16 17:08:00,buy
2025-07-16 17:32:00,sell
2025-07-16 17:36:00,buy
2025-07-16 18:41:00,sell
2025-07-16 23:31:00,sell
2025-07-17 01:49:00,buy
2025-07-17 02:13:00,sell
2025-07-17 02:56:00,buy
2025-07-17 03:08:00,sell
2025-07-17 03:41:00,buy
2025-07-17 04:05:00,sell
2025-07-17 04:26:00,buy
2025-07-17 05:12:00,sell
2025-07-17 08:30:00,buy
2025-07-17 08:58:00,sell
2025-07-17 09:21:00,buy
2025-07-17 09:32:00,sell
2025-07-17 10:31:00,buy
2025-07-17 10:54:00,sell
2025-07-17 12:23:00,buy
2025-07-17 12:31:00,sell
2025-07-17 13:53:00,buy
2025-07-17 17:37:00,sell
2025-07-17 18:42:00,buy
2025-07-17 23:52:18,sell
2025-07-18 01:02:09,buy
2025-07-18 01:08:02,sell
2025-07-18 01:53:01,buy
2025-07-18 02:01:02,sell
2025-07-18 02:05:13,buy
2025-07-18 02:50:01,sell
2025-07-18 04:56:06,buy
2025-07-18 05:34:12,sell
2025-07-18 06:15:04,buy
2025-07-18 10:06:02,sell
2025-07-18 10:32:01,buy
2025-07-18 10:34:07,sell
2025-07-18 10:35:03,buy
2025-07-18 10:49:01,sell
2025-07-18 11:00:11,buy
2025-07-18 11:02:12,sell
2025-07-18 11:03:02,buy
2025-07-18 13:24:11,sell
